,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
1/2 lb. Cheese GrillBurger,820,48,20,1.5,170,910,46,2,11,52,0,0,0,0
1/2 lb. FlameThrower GrillBurger,990,67,24,1.5,195,1490,43,2,9,57,0,0,0,0
1/3 lb. Double with Cheese,540,27,12,1,105,710,35,2,6,38,0,0,0,0
1/4 lb. Bacon Cheese GrillBurger,620,33,13,1,100,1140,44,2,11,35,0,0,0,0
1/4 lb. DQ Ultimate GrillBurger,650,38,13,1,105,1100,43,2,10,34,0,0,0,0
1/4 lb. Mushroom Swiss GrillBurger,590,34,12,1,95,540,40,2,7,30,0,0,0,0
Deluxe Bacon Cheeseburger,480,26,10,0.5,70,750,35,2,7,25,0,0,0,0
Deluxe Cheeseburger,450,24,9,1,65,760,36,2,7,22,0,0,0,0
Chicken Bacon Ranch Sandwich,580,25,9,0.3,80,1590,46,3,4,40,0,0,0,0
Grilled Chicken Sandwich,410,15,2.5,0.1,35,1070,44,2,3,24,0,0,0,0
Turkey BLT Sandwich,550,29,8,0.3,75,1620,47,4,4,29,0,0,0,0
Crispy Chicken Sandwich,500,25,3,0.2,60,1160,45,3,4,23,0,0,0,0
Bacon Cheese Dog (5:1),440,20,9,1,65,1400,39,1,5,23,0,0,0,0
Bacon Cheese Dog (8:1),340,15,7,0.5,45,1000,32,1,4,18,0,0,0,0
Cheese Dog (5:1),410,18,8,1,55,1250,39,1,5,21,0,0,0,0
Cheese Dog (8:1),310,13,6,0.5,35,840,32,1,4,15,0,0,0,0
Chili Cheese Dog (5:1),420,18,8,1,60,1250,41,1,5,22,0,0,0,0
Chili Cheese Dog (8:1),320,13,6,0.5,40,850,34,1,4,16,0,0,0,0
Relish Dog (5:1),370,14,5,0.5,45,1240,42,1,8,17,0,0,0,0
Relish Dog (8:1),270,8,3,0.4,25,830,35,1,7,12,0,0,0,0
Chicken BLT Salad - Grilled Chicken,260,11,4.5,0.1,65,1160,10,3,6,32,0,0,0,0
Chicken BLT Salad - Crispy Chicken,380,20,5,0.2,65,1110,27,4,5,26,0,0,0,0
Chicken Strip Basket - 4 piece,810,38,6,0,60,2530,83,6,1,34,0,0,0,0
Chicken Strip Basket - 6 piece,1050,49,8,0,90,3190,101,7,1,48,0,0,0,0
Chicken Strips - 3 pieces,350,17,1.5,0.1,50,990,28,2,0,22,0,0,0,0
Side Salad,25,0.1,0,0,0,15,5,2,3,1,0,0,0,0
