,Calories (kcal),Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Vitamin A,Vitamin C,Calcium,Iron
Buffalo Chicken Snack Melt,260,13,4.5,0.3,25,940,24,1,4,13,0,0,0,0
Cheeseburger,380,16,8,0.5,60,710,35,2,6,23,0,0,0,0
Chicken Bacon BBQ Snack Melt,270,11,5,0.2,35,900,27,1,7,16,0,0,0,0
Crispy Chicken Wrap,330,18,4,0.3,25,790,31,2,2,12,0,0,0,0
FlameThrower Crispy Chicken Wrap,360,21,4.5,0.3,30,820,31,2,1,12,0,0,0,0
FlameThrower Grilled Chicken Wrap,290,16,4,0.2,30,830,22,1,2,15,0,0,0,0
"Fries, Large",490,21,3,0.2,0,1490,71,6,1,7,0,0,0,0
"Fries, Regular",300,13,2,0.1,0,920,44,4,0,4,0,0,0,0
Grilled Chicken Wrap,270,14,3.5,0.2,25,800,22,1,2,15,0,0,0,0
Lay's Potato Chips - Original,220,14,1.5,0,0,270,21,1,0,2,0,0,0,0
"Onion Rings, Large",530,27,4,0,0,1450,64,5,7,9,0,0,0,0
"Onion Rings, Regular",260,14,2,0,0,730,32,2,3,4,0,0,0,0
Potato Skins,260,15,6,0.3,35,1070,20,3,1,12,0,0,0,0
Poutine,480,23,6,0.1,20,1700,60,4,1,10,0,0,0,0
Pretzel Sticks with Zesty Queso,330,9,3,0,5,500,52,2,1,9,0,0,0,0
